夏侯惇,夏侯惇生命值低于50％时，每一次技能或普通攻击命中目标都会回复4.5％的最大生命值，持续8秒；每30秒最多触发一次。,不羁之风&0|战争骑士&0|乘风破浪&12|无限飓风号&26|朔风刀&52|匿光决锋者&19,闪现/斩杀,70%,40%,50%,40%
周瑜,周瑜普通攻击和技能的火焰会对敌人和敌方建筑叠加引燃印记，持续4秒；叠加满4层后目标将被引燃，在4秒内每秒承受125（+17%法术加成）点法术伤害并减少其30%移动速度，持续1秒；引燃期间目标不会再被叠加印记,铁血都督&0|海军大将&0|真爱至上&11|赤莲之焰&40|音你心动&15,闪现/斩杀,30%,40%,90%,70%
吕布,吕布挥斩方天画戟的技能命中敌方英雄后会给武器附魔，持续5秒。方天画戟在附魔状态下造成的是等额的真实伤害。附魔状态下，吕布挥斩方天画戟的技能每命中一名敌方英雄，回复(+50%额外物理攻击)(+4%已损生命)点生命。附魔状态下，吕布每次普攻命中敌人，回复(+25%额外物理攻击)(+ 1%已损生命)点生命。,无双之魔&0|圣诞狂欢&12|天魔缭乱&5|末日机甲&12|猎兽之王&40|野性能量&1|御风骁将&81,闪现/斩杀,60%,60%,30%,40%
芈月,芈月释放技能会召唤暗影仆从并对附近的敌人进行攻击，每次攻击会造成50（+7%法术加成）点法术伤害，对小兵额外造成80（+14%法术加成）点法术伤害，并回复25（+3%法术加成）点生命值；召唤暗影仆从时芈月获得30点暗影之力，暗影之力会为芈月增加移速和治疗效果，最多增加30点移速和10%治疗效果，暗影之力消失时暗影仆从也会立即消失；暗影仆从最多存在6个。,永恒之月&0|红桃皇后&1|大秦宣太后&26|重明&62|白晶晶&5|幻夜卜梦&40,闪现/斩杀,60%,50%,70%,50%
白起,成或受到伤害时会获得暗影之力，提升移动速度和治疗效果，最多可以提升70点移动速度和80%的治疗效果。,最终兵器&0|白色死神&1|狰&59|星夜王子&12|夜都怪侠&40,闪现/斩杀,80%,30%,40%,40%
扁鹊,扁鹊的普通攻击和技能都会附带剧毒，每秒造成25（+5%法术加成）点法术伤害，并叠加1层毒药印记，伤害随英雄等级成长；当友方英雄受到善恶诊断的治疗时，每秒回复5（+2%法术加成）点生命值，并叠加1层恢复印记；毒药印记和恢复印记最多可叠加至多5层，持续7秒，友方英雄只生效80%。,善恶怪医&0|救世之瞳&1|化身博士&1|炼金王&57,闪现/斩杀,50%,40%,30%,40%
孙膑,孙膑释放技能会增加30%移动速度，持续2秒,逆流之时&0|未来旅行&0|天使之翼&1|妖精王&56|归虚梦演&1|天狼运算者&19|寅虎·展翼&93,闪现/斩杀,20%,10%,60%,50%
钟无艳,钟无艳造成伤害时，会有50%几率将敌方英雄石化0.75秒，每个敌方英雄在8秒内只会受到一次石化效果,野蛮之锤&0|生化警戒&0|王者之锤&8|海滩丽影&1,闪现/斩杀,70%,50%,70%,40%
阿轲,阿轲在敌人身后发起的攻击，必定暴击，在敌人正面发起的所有攻击，必定不暴击；阿轲的初始暴击伤害为125%，每1%暴击几率将额外的增加0.5%暴击伤害；阿轲对非英雄目标最多造成2000伤害。,信念之刃&0|爱心护理&1|暗夜猫娘&12|致命风华&1|节奏热浪&12|迷踪丽影&40,闪现/斩杀,30%,100%,40%,60%
高渐离,高渐离的普通攻击或释放技能可视作一次演奏，每三次演奏后的下一次普通攻击将会向目标弹奏出带有击穿效果的能量和弦，造成280/300/320/340/360/380（+80%法术加成）的法术伤害。,叛逆吟游&0|金属狂潮&0|死亡摇滚&9|玩趣恶龙&50,闪现/斩杀,50%,40%,90%,40%
刘禅,刘禅可对机关释放技能造成等量伤害，并且刘禅的控制效果可对机关造成干扰效果，持续1秒；当刘禅技能对机关造成伤害时会掠夺零件为自身回复200-396点生命值，回复效果随英雄等级成长。,暴走机关&0|英喵野望&0|绅士熊喵&12|天才门将&12|秘密基地&1|唤灵魔甲&50,闪现/斩杀,70%,30%,50%,30%
庄周,庄周每隔6秒进入自然梦境，会解除自身所有控制效果，并且减少15%所受到的伤害，增加15%移动速度，持续2秒,逍遥幻梦&0|鲤鱼之梦&1|蜃楼王&14|云端筑梦师&5|奇妙博物学&1|玄嵩&67|高山流水&90,闪现/斩杀,80%,20%,40%,20%
鲁班七号,鲁班七号连续使用普通攻击时，第五次普通攻击会掏出机关枪进行扫射，扫射会造成3次伤害，对敌人英雄每次造成其最大生命6%物理伤害（每100点额外物理攻击提升1%），对小兵野怪防御塔造成120（+50%物理加成）点物理伤害；使用技能后鲁班七号下一次普通攻击变更为扫射,机关造物&0|木偶奇遇记&0|福禄兄弟&0|电玩小子&12|星空梦想&26|狮舞东方&40|黑桃队长&1|乒乒小将&5|寅虎·瑞焰&93,闪现/斩杀,10%,100%,30%,40%
孙尚香,孙尚香每次普通攻击命中敌人都会减少0.5秒翻滚突袭的冷却时间。,千金重弩&0|火炮千金&0|水果甜心&12|蔷薇恋人&12|杀手不太冷&26|末日机甲&15|沉稳之力&27|时之恋人&12|异界灵契&5,闪现/斩杀,30%,80%,50%,60%
嬴政,嬴政的普通攻击可以击穿目标，并造成120（+100%物理加成）（+35%法术加成）点法术伤害；攻击机关时会衰减50%的伤害,王者独尊&0|摇滚巨星&12|暗夜贵公子&12|优雅恋人&12|白昼王子&40,闪现/斩杀,30%,40%,100%,60%
妲己,妲己技能命中敌人会减少目标30~72点法术防御，持续3秒，最多叠加3层。,魅力之狐&0|女仆咖啡&12|魅力维加斯&12|仙境爱丽丝&0|少女阿狸&1|热情桑巴&5|时之彼端&5|紫罗兰之誓&1,闪现/斩杀,20%,10%,80%,20%
墨子,墨子连续使用普通攻击时，第四次普通攻击将变更为炮击，炮击会造成450（+70%法术加成）法术伤害，同时将目标击退0.75秒；当墨子施放技能时会获得抵免300（+35%法术加成）点伤害的护盾，持续3秒，最多叠加3层,和平守望&0|金属风暴&12|龙骑士&12|进击墨子号&1|神迹守卫&40,闪现/斩杀,50%,40%,50%,60%
赵云,赵云每损失3%最大生命值，就会获得减少1%所受到的伤害,苍天翔龙&0|忍●炎影&1|未来纪元&1|皇家上将&6|嘻哈天王&1|白执事&1|引擎之心&5|龙胆&72|淬星耀世&86|百木心枪&5,闪现/斩杀,60%,60%,60%,50%
小乔,小乔释放技能命中敌人时，会增加25％移动速度，持续2秒,恋之微风&0|万圣前夜&0|天鹅之梦&26|纯白花嫁&11|缤纷独角兽&12|丁香结&1|青蛇&12|音你心动&15,闪现/斩杀,20%,10%,80%,30%
廉颇,廉颇释放技能过程中会处于霸体状态。进入战斗后廉颇的战意会逐渐提升，战意越高减伤越多，最多获得20%所受到的伤害。当战意充盈时，廉颇提升自身30%攻击速度。脱战后战意逐渐降低。,正义爆轰&0|地狱岩魂&12|无尽征程&1|寅虎·御盾&93,闪现/斩杀,100%,30%,40%,30%
